Notice: it is a crossflow
tfa_in(c), tfa_out(c), humidfa_in(kg/kg), humidfa_out(kg/kg), rhfa_in, rhfa_out, Pvapfa_in(pa), Pvapfa_out(pa),	tpf_in(c), tpf_out(c), humidpf_in(kg / kg), humidpf_out(kg / kg), rhpf_in, rhpf_out, Pvappf_in(pa), Pvappf_out(pa)
35, 28.7351, 0.0211578, 0.0141326, 0.59, 0.568087, 3297.57, 2227.2, 27, 33.2652, 0.0121019, 0.0190648, 0.54, 0.587448, 1913.34, 2981.15
tfa(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
1, 30.0874, 31.0461, 31.8264, 32.4588, 32.9695, 33.3807, 33.7109, 33.9755, 34.187, 34.3558, 34.4902, 34.5971, 34.682, 34.7493, 34.8025, 34.8446, 34.8779, 34.9041, 34.9248, 34.941, 34.9538
2, 29.3454, 30.2536, 31.0383, 31.7092, 32.2781, 32.7571, 33.1579, 33.4917, 33.7684, 33.9968, 34.1848, 34.339, 34.4651, 34.568, 34.6517, 34.7196, 34.7747, 34.8192, 34.8551, 34.8841, 34.9073
3, 28.7817, 29.6079, 30.36, 31.0335, 31.6287, 32.1491, 32.6, 32.9877, 33.3189, 33.6003, 33.8381, 34.0382, 34.2059, 34.346, 34.4626, 34.5593, 34.6394, 34.7055, 34.7599, 34.8045, 34.8412
4, 28.3535, 29.0843, 29.7819, 30.4329, 31.0299, 31.5695, 32.0516, 32.4781, 32.8522, 33.178, 33.4599, 33.7026, 33.9103, 34.0874, 34.2378, 34.365, 34.4722, 34.5623, 34.6378, 34.7008, 34.7534
5, 28.0281, 28.6615, 29.2932, 29.9055, 30.486, 31.0269, 31.5238, 31.9747, 32.38, 32.7409, 33.06, 33.3403, 33.5849, 33.7974, 33.981, 34.139, 34.2744, 34.3901, 34.4885, 34.572, 34.6427
6, 27.7809, 28.3214, 28.883, 29.4468, 29.9981, 30.5264, 31.0243, 31.487, 31.9122, 32.2988, 32.6474, 32.9593, 33.2365, 33.4814, 33.6966, 33.8847, 34.0484, 34.1903, 34.3128, 34.4182, 34.5085
7, 27.5931, 28.0487, 28.5408, 29.0513, 29.5652, 30.0706, 30.5584, 31.0219, 31.4567, 31.8599, 32.2301, 32.5673, 32.8719, 33.1454, 33.3894, 33.6058, 33.7969, 33.9649, 34.1118, 34.2399, 34.3511
8, 27.4505, 27.8307, 28.2568, 28.7127, 29.1844, 29.6598, 30.129, 30.5844, 31.0198, 31.431, 31.8153, 32.1711, 32.4976, 32.7952, 33.0645, 33.3068, 33.5236, 33.7166, 33.8876, 34.0385, 34.1711
9, 27.3421, 27.6569, 28.0222, 28.4247, 28.8521, 29.293, 29.7375, 30.1774, 30.6059, 31.0178, 31.409, 31.7768, 32.1195, 32.4363, 32.727, 32.9919, 33.2321, 33.4485, 33.6426, 33.8158, 33.9698
10, 27.2598, 27.5186, 27.8291, 28.1812, 28.5642, 28.9681, 29.3838, 29.8028, 30.2183, 30.6242, 31.0159, 31.3897, 31.7429, 32.074, 32.3817, 32.6658, 32.9264, 33.164, 33.3796, 33.5742, 33.7489
11, 27.1973, 27.4088, 27.6709, 27.9762, 28.3162, 28.6825, 29.0667, 29.4611, 29.8587, 30.2533, 30.6399, 31.0141, 31.3726, 31.7129, 32.0333, 32.3327, 32.6106, 32.8668, 33.1018, 33.3161, 33.5106
12, 27.1498, 27.3218, 27.5417, 27.8045, 28.1039, 28.433, 28.7846, 29.1518, 29.528, 29.9071, 30.2838, 30.6535, 31.0124, 31.3573, 31.686, 31.9968, 32.2884, 32.5603, 32.8122, 33.0444, 33.2573
13, 27.1138, 27.2529, 27.4364, 27.6612, 27.9229, 28.2162, 28.5352, 28.8739, 29.2263, 29.5866, 29.9496, 30.3106, 30.6655, 31.0107, 31.3436, 31.6618, 31.9637, 32.2481, 32.5143, 32.7621, 32.9914
14, 27.0864, 27.1986, 27.3509, 27.5421, 27.7693, 28.0289, 28.316, 28.6258, 28.9529, 29.2921, 29.6384, 29.9873, 30.3344, 30.6761, 31.0092, 31.3311, 31.6397, 31.9334, 32.2111, 32.472, 32.7157
15, 27.0656, 27.1558, 27.2817, 27.4434, 27.6396, 27.8677, 28.1244, 28.4056, 28.7068, 29.0234, 29.3508, 29.6847, 30.0209, 30.3556, 30.6855, 31.0077, 31.3197, 31.6195, 31.9057, 32.1771, 32.4329
16, 27.0498, 27.122, 27.2257, 27.3619, 27.5304, 27.7298, 27.9577, 28.2112, 28.4865, 28.7797, 29.0868, 29.4037, 29.7264, 30.0512, 30.3748, 30.694, 31.0062, 31.3091, 31.601, 31.8802, 32.1457
17, 27.0378, 27.0955, 27.1806, 27.2948, 27.4388, 27.6121, 27.8134, 28.0404, 28.2904, 28.5601, 28.8459, 29.1443, 29.4516, 29.7642, 30.0787, 30.3922, 30.7017, 31.0048, 31.2994, 31.5838, 31.8565
18, 27.0287, 27.0747, 27.1443, 27.2397, 27.3622, 27.5121, 27.6889, 27.8911, 28.1167, 28.3631, 28.6274, 28.9063, 29.1967, 29.4952, 29.7986, 30.1038, 30.408, 30.7086, 31.0034, 31.2904, 31.5679
19, 27.0218, 27.0584, 27.1151, 27.1945, 27.2983, 27.4275, 27.582, 27.7611, 27.9635, 28.1873, 28.4301, 28.6892, 28.9618, 29.2447, 29.5352, 29.8301, 30.1267, 30.4225, 30.715, 31.0021, 31.282
20, 27.0165, 27.0456, 27.0917, 27.1576, 27.2452, 27.356, 27.4904, 27.6483, 27.829, 28.0312, 28.2529, 28.4921, 28.7463, 29.0128, 29.289, 29.5719, 29.8591, 30.1479, 30.4358, 30.7208, 31.0008
tpfm(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0, 31.062, 32.0113, 32.7299, 33.2745, 33.6877, 34.0014, 34.2399, 34.4212, 34.5592, 34.6643, 34.7443, 34.8052, 34.8516, 34.8869, 34.9139, 34.9344, 34.95, 34.9619, 34.971, 34.9779, 34.9832
1, 30.0857, 31.0447, 31.8252, 32.4578, 32.9687, 33.38, 33.7104, 33.975, 34.1866, 34.3555, 34.49, 34.5969, 34.6818, 34.7492, 34.8024, 34.8446, 34.8778, 34.9041, 34.9247, 34.941, 34.9538
2, 29.3441, 30.2524, 31.0372, 31.7083, 32.2773, 32.7564, 33.1573, 33.4912, 33.768, 33.9965, 34.1845, 34.3388, 34.4649, 34.5678, 34.6516, 34.7195, 34.7746, 34.8191, 34.8551, 34.884, 34.9073
3, 28.7807, 29.6069, 30.359, 31.0326, 31.6279, 32.1484, 32.5994, 32.9872, 33.3184, 33.5999, 33.8377, 34.0379, 34.2057, 34.3458, 34.4624, 34.5592, 34.6393, 34.7054, 34.7598, 34.8045, 34.8411
4, 28.3527, 29.0835, 29.781, 30.4321, 31.0291, 31.5688, 32.051, 32.4775, 32.8517, 33.1775, 33.4595, 33.7022, 33.91, 34.0872, 34.2376, 34.3648, 34.472, 34.5621, 34.6376, 34.7007, 34.7533
5, 28.0275, 28.6608, 29.2925, 29.9048, 30.4853, 31.0262, 31.5231, 31.9742, 32.3794, 32.7404, 33.0596, 33.3399, 33.5846, 33.7971, 33.9807, 34.1388, 34.2742, 34.3899, 34.4884, 34.5719, 34.6426
6, 27.7805, 28.3209, 28.8824, 29.4462, 29.9975, 30.5258, 31.0237, 31.4865, 31.9116, 32.2983, 32.6469, 32.9589, 33.2362, 33.4811, 33.6963, 33.8844, 34.0481, 34.1901, 34.3126, 34.418, 34.5084
7, 27.5928, 28.0483, 28.5403, 29.0507, 29.5646, 30.07, 30.5578, 31.0214, 31.4562, 31.8594, 32.2297, 32.5668, 32.8715, 33.145, 33.389, 33.6055, 33.7967, 33.9646, 34.1116, 34.2397, 34.3509
8, 27.4502, 27.8304, 28.2564, 28.7122, 29.1838, 29.6592, 30.1285, 30.5838, 31.0193, 31.4305, 31.8149, 32.1706, 32.4972, 32.7948, 33.0641, 33.3064, 33.5233, 33.7163, 33.8873, 34.0383, 34.1709
9, 27.3419, 27.6566, 28.0218, 28.4243, 28.8516, 29.2925, 29.737, 30.1769, 30.6054, 31.0173, 31.4085, 31.7763, 32.1191, 32.4359, 32.7266, 32.9916, 33.2317, 33.4482, 33.6423, 33.8156, 33.9696
10, 27.2597, 27.5183, 27.8288, 28.1808, 28.5638, 28.9677, 29.3833, 29.8024, 30.2178, 30.6237, 31.0154, 31.3892, 31.7425, 32.0735, 32.3813, 32.6654, 32.9261, 33.1637, 33.3793, 33.5739, 33.7487
11, 27.1972, 27.4086, 27.6707, 27.9759, 28.3159, 28.6821, 29.0663, 29.4607, 29.8582, 30.2529, 30.6394, 31.0136, 31.3722, 31.7125, 32.0329, 32.3323, 32.6102, 32.8665, 33.1014, 33.3158, 33.5104
12, 27.1497, 27.3216, 27.5415, 27.8042, 28.1036, 28.4326, 28.7842, 29.1514, 29.5276, 29.9067, 30.2834, 30.6531, 31.0119, 31.3569, 31.6856, 31.9964, 32.288, 32.5599, 32.8119, 33.0441, 33.257
13, 27.1137, 27.2528, 27.4363, 27.661, 27.9226, 28.2159, 28.5349, 28.8735, 29.2259, 29.5862, 29.9492, 30.3102, 30.665, 31.0103, 31.3432, 31.6614, 31.9633, 32.2477, 32.514, 32.7618, 32.9911
14, 27.0863, 27.1985, 27.3508, 27.5419, 27.7691, 28.0286, 28.3157, 28.6255, 28.9525, 29.2917, 29.638, 29.9869, 30.334, 30.6756, 31.0088, 31.3307, 31.6393, 31.9331, 32.2108, 32.4717, 32.7154
15, 27.0655, 27.1557, 27.2816, 27.4433, 27.6394, 27.8675, 28.1242, 28.4053, 28.7064, 29.023, 29.3505, 29.6844, 30.0205, 30.3552, 30.6851, 31.0073, 31.3193, 31.6192, 31.9054, 32.1768, 32.4326
16, 27.0498, 27.122, 27.2256, 27.3618, 27.5302, 27.7296, 27.9575, 28.2109, 28.4862, 28.7794, 29.0865, 29.4034, 29.7261, 30.0509, 30.3744, 30.6936, 31.0058, 31.3088, 31.6006, 31.8798, 32.1453
